code,code_name,ipoDate
sh.600000,浦发银行,1999-11-10
sh.600004,白云机场,2003-04-28
sh.600006,东风汽车,1999-07-27
sh.600007,中国国贸,1999-03-12
sh.600008,首创环保,2000-04-27
sh.600009,上海机场,1998-02-18
sh.600010,包钢股份,2001-03-09
sh.600011,华能国际,2001-12-06
sh.600012,皖通高速,2003-01-07
sh.600015,华夏银行,2003-09-12
sh.600016,民生银行,2000-12-19
sh.600017,日照港,2006-10-17
sh.600018,上港集团,2006-10-26
sh.600019,宝钢股份,2000-12-12
sh.600020,中原高速,2003-08-08
sh.600021,上海电力,2003-10-29
sh.600022,山东钢铁,2004-06-29
sh.600023,浙能电力,2013-12-19
sh.600025,华能水电,2017-12-15
sh.600026,中远海能,2002-05-23
sh.600027,华电国际,2005-02-03
sh.600028,中国石化,2001-08-08
sh.600029,南方航空,2003-07-25
sh.600030,中信证券,2003-01-06
sh.600031,三一重工,2003-07-03
sh.600032,浙江新能,2021-05-25
sh.600033,福建高速,2001-02-09
sh.600035,楚天高速,2004-03-10
sh.600036,招商银行,2002-04-09
sh.600037,歌华有线,2001-02-08
sh.600038,中直股份,2000-12-18
sh.600039,四川路桥,2003-03-25
sh.600048,保利发展,2006-07-31
sh.600050,中国联通,2002-10-09
sh.600051,宁波联合,1997-04-10
sh.600052,东望时代,1997-04-15
sh.600053,九鼎投资,1997-04-18
sh.600054,黄山旅游,1997-05-06
sh.600055,万东医疗,1997-05-19
sh.600056,中国医药,1997-05-15
sh.600057,厦门象屿,1997-06-04
sh.600058,五矿发展,1997-05-28
sh.600059,古越龙山,1997-05-16
sh.600060,海信视像,1997-04-22
sh.600061,国投资本,1997-05-19
sh.600062,华润双鹤,1997-05-22
sh.600063,皖维高新,1997-05-28
sh.600064,南京高科,1997-05-06
sh.600066,宇通客车,1997-05-08
sh.600067,冠城大通,1997-05-08
sh.600070,浙江富润,1997-06-04
sh.600071,凤凰光学,1997-05-28
sh.600072,中船科技,1997-06-03
sh.600073,上海梅林,1997-07-04
sh.600075,新疆天业,1997-06-17
sh.600076,康欣新材,1997-05-26
sh.600077,宋都股份,1997-05-20
sh.600079,人福医药,1997-06-06
sh.600080,金花股份,1997-06-12
sh.600081,东风科技,1997-07-03
sh.600082,海泰发展,1997-06-20
sh.600085,同仁堂,1997-06-25
sh.600088,中视传媒,1997-06-16
sh.600089,特变电工,1997-06-18
sh.600094,大名城,1997-07-03
sh.600095,湘财股份,1997-07-08
sh.600096,云天化,1997-07-09
sh.600097,开创国际,1997-06-19
sh.600098,广州发展,1997-07-18
sh.600099,林海股份,1997-07-04
sh.600100,同方股份,1997-06-27
sh.600101,明星电力,1997-06-27
sh.600103,青山纸业,1997-07-03
sh.600104,上汽集团,1997-11-25
sh.600105,永鼎股份,1997-09-29
sh.600106,重庆路桥,1997-06-18
sh.600107,美尔雅,1997-11-06
sh.600108,亚盛集团,1997-08-18
sh.600109,国金证券,1997-08-07
sh.600110,诺德股份,1997-10-07
sh.600111,北方稀土,1997-09-24
sh.600113,浙江东日,1997-10-21
sh.600114,东睦股份,2004-05-11
sh.600115,中国东航,1997-11-05
sh.600116,三峡水利,1997-08-04
sh.600117,西宁特钢,1997-10-15
sh.600118,中国卫星,1997-09-08
sh.600119,长江投资,1998-01-15
sh.600120,浙江东方,1997-12-01
sh.600121,郑州煤电,1998-01-07
sh.600123,兰花科创,1998-12-17
sh.600125,铁龙物流,1998-05-11
sh.600126,杭钢股份,1998-03-11
sh.600127,金健米业,1998-05-06
sh.600128,弘业股份,1997-09-01
sh.600129,太极集团,1997-11-18
sh.600130,波导股份,2000-07-06
sh.600131,国网信通,1998-04-02
sh.600132,重庆啤酒,1997-10-30
sh.600133,东湖高新,1998-02-12
sh.600135,乐凯胶片,1998-01-22
sh.600136,当代文体,1998-03-03
sh.600137,浪莎股份,1998-04-16
sh.600138,中青旅,1997-12-03
sh.600141,兴发集团,1999-06-16
sh.600143,金发科技,2004-06-23
sh.600148,长春一东,1998-05-20
sh.600149,廊坊发展,1999-10-14
sh.600150,中国船舶,1998-05-20
sh.600151,航天机电,1998-06-05
sh.600152,维科技术,1998-06-09
sh.600153,建发股份,1998-06-16
sh.600155,华创阳安,1998-09-18
sh.600156,华升股份,1998-05-27
sh.600157,永泰能源,1998-05-13
sh.600158,中体产业,1998-03-27
sh.600159,大龙地产,1998-05-26
sh.600160,巨化股份,1998-06-26
sh.600161,天坛生物,1998-06-16
sh.600162,香江控股,1998-06-09
sh.600163,中闽能源,1998-06-02
sh.600165,新日恒力,1998-05-29
sh.600166,福田汽车,1998-06-02
sh.600167,联美控股,1999-01-28
sh.600168,武汉控股,1998-04-27
sh.600169,太原重工,1998-09-04
sh.600170,上海建工,1998-06-23
sh.600171,上海贝岭,1998-09-24
sh.600172,黄河旋风,1998-11-26
sh.600173,卧龙地产,1999-04-15
sh.600176,中国巨石,1999-04-22
sh.600177,雅戈尔,1998-11-19
sh.600178,东安动力,1998-10-14
sh.600179,安通控股,1998-11-04
sh.600180,瑞茂通,1998-07-03
sh.600183,生益科技,1998-10-28
sh.600184,光电股份,2003-11-06
sh.600185,格力地产,1999-06-11
sh.600186,莲花健康,1998-08-25
sh.600187,国中水务,1998-11-11
sh.600188,兖矿能源,1998-07-01
sh.600189,泉阳泉,1998-10-07
sh.600190,锦州港,1999-06-09
sh.600192,长城电工,1998-12-24
sh.600193,创兴资源,1999-05-27
sh.600195,中牧股份,1999-01-07
