ts_code,name,classify,list_date,delist_date
A,,EQT,19991118,
AA,美国铝业,EQT,20161031,
AAALF,,EQT,20140113,
AAALY,,ADR,20150129,
AAARF,,EQT,20090513,
AABB,,EQT,20010111,
AABVF,,EQT,19600101,
AACAF,,EQT,20050722,
AACAY,瑞声,ADR,20081015,
AACG,,ADR,20080128,
AACH,,EQT,20141002,
AACMZ,,GDR,19920605,
AACS,,EQT,20030616,
AACTF,,EQT,20131002,
AAEEF,,EQT,20120123,
AAGC,,EQT,20100910,
AAGFF,,EQT,20110816,
AAGH,,EQT,20120925,
AAGIY,,ADR,20110228,
AAGRY,,ADR,20140328,
AAIGF,,EQT,20101214,
AAIIQ,,EQT,19870507,
AAINF,,EQT,20120427,
AAIRF,,EQT,20200115,
AAL,,EQT,20131209,
AALBF,,EQT,20130708,
AAMAF,,EQT,20140213,
AAMC,,EQT,20121213,
AAME,,EQT,19721214,
AAMMF,,EQT,20180531,
AAMTF,,EQT,20141117,
AAN,,EQT,19821104,
AANNF,,EQT,20191025,
AAOI,,EQT,20130927,
AAON,艾伦建材,EQT,19880526,
AAP,,EQT,20011121,
AAPJ,,EQT,19960808,
AAPL,苹果,EQT,19801212,
AAPT,,EQT,20070425,
AASL,,EQT,20091214,
AASP,,EQT,20110223,
AASZF,,EQT,20180502,
AAT,,EQT,20110113,
AATDF,,EQT,20160415,
AATGF,,EQT,20140113,
AATP,,EQT,20181005,
AATV,,EQT,20010821,
AAU,,EQT,20051219,
AAUKF,,EQT,20140113,
AAVMY,,ADR,20190809,
AAVVF,,EQT,20051212,
AAVXF,,EQT,20160930,
AAWC,,EQT,20030926,
AAWW,,EQT,20040721,
AAXN,,EQT,20010703,
AAXT,,EQT,19930928,
AAZZF,,EQT,20200512,
AB,,EQT,19880414,
ABB,,ADR,20010406,
ABBB,,EQT,20080818,
ABBRF,,EQT,20170330,
ABBV,,EQT,20121210,
ABBY,,EQT,20120904,
ABC,,EQT,19950329,
ABCAF,,EQT,20131118,
ABCB,,EQT,19940518,
ABCE,,EQT,20040819,
ABCFF,,EQT,20140113,
ABCP,,EQT,20110223,
ABCZF,,EQT,20110411,
ABCZY,,ADR,20101204,
ABDDF,,EQT,20180702,
ABDR,,EQT,19721214,
ABEC,,EQT,20041026,
ABENU,,EQT,20161102,
ABEO,,EQT,20120724,
ABEPF,,EQT,20171214,
ABETF,,EQT,20140113,
ABEV,,ADR,20131111,
ABEYF,,EQT,20171201,
