品种中文,合约品种,合约代码,交易所保证金,手续费-开仓,手续费-平昨,手续费-平今,现价,每手保证金,手续费-开加平,合约乘数,最小变动价位,最小跳动的浮亏比例,是否主力合约
白银,AG,AG2306,15.0,万分之[0.5],万分之[0.5],万分之[0.5],5520.0,12420.0,8.3,15,1.0,0.0011322463768115942,不是
白银,AG,AG2307,11.0,万分之[0.5],万分之[0.5],万分之[0.5],5516.0,9101.4,8.3,15,1.0,0.001510756586898719,不是
白银,AG,AG2308,11.0,万分之[0.5],万分之[0.5],万分之[0.5],5536.0,9134.4,8.3,15,1.0,0.0015052986512524083,是
白银,AG,AG2309,11.0,万分之[0.1],万分之[0.1],万分之[0.1],5539.0,9139.35,1.7,15,1.0,0.0015044833604140337,不是
白银,AG,AG2310,11.0,万分之[0.1],万分之[0.1],万分之[0.1],5551.0,9159.15,1.7,15,1.0,0.0015012310094277307,不是
白银,AG,AG2311,11.0,万分之[0.1],万分之[0.1],万分之[0.1],5560.0,9174.0,1.7,15,1.0,0.001498800959232614,不是
白银,AG,AG2312,11.0,万分之[0.5],万分之[0.5],万分之[0.5],5562.0,9177.3,8.3,15,1.0,0.0014982620160613688,不是
白银,AG,AG2401,11.0,万分之[0.1],万分之[0.1],万分之[0.1],5573.0,9195.45,1.7,15,1.0,0.0014953047431066453,不是
白银,AG,AG2402,11.0,万分之[0.1],万分之[0.1],万分之[0.1],5587.0,9218.55,1.7,15,1.0,0.0014915577829485115,不是
白银,AG,AG2403,11.0,万分之[0.1],万分之[0.1],万分之[0.1],5586.0,9216.9,1.7,15,1.0,0.001491824800095477,不是
白银,AG,AG2404,11.0,万分之[0.1],万分之[0.1],万分之[0.1],5595.0,9231.75,1.7,15,1.0,0.0014894250819183794,不是
白银,AG,AG2405,11.0,万分之[0.1],万分之[0.1],万分之[0.1],5606.0,9249.9,1.7,15,1.0,0.0014865025567843977,不是
铝,AL,AL2306,15.0,3元,3元,3元,18585.0,13938.75,6.0,5,5.0,0.0016814635458703255,不是
铝,AL,AL2307,10.0,3元,3元,3元,18395.0,9197.5,6.0,5,5.0,0.002471027206009538,是
铝,AL,AL2308,9.0,3元,3元,3元,18190.0,8185.5,6.0,5,5.0,0.0027487630566245193,不是
铝,AL,AL2309,9.0,3元,3元,3元,18010.0,8104.5,6.0,5,5.0,0.00277623542476402,不是
铝,AL,AL2310,9.0,3元,3元,3元,17895.0,8052.75,6.0,5,5.0,0.002794076557697681,不是
铝,AL,AL2311,9.0,3元,3元,3元,17805.0,8012.25,6.0,5,5.0,0.002808199943836001,不是
铝,AL,AL2312,9.0,3元,3元,3元,17735.0,7980.75,6.0,5,5.0,0.0028192839018889204,不是
铝,AL,AL2401,9.0,3元,3元,3元,17650.0,7942.5,6.0,5,5.0,0.0028328611898016994,不是
铝,AL,AL2402,9.0,3元,3元,3元,17665.0,7949.25,6.0,5,5.0,0.002830455703368242,不是
铝,AL,AL2403,9.0,3元,3元,3元,17655.0,7944.75,6.0,5,5.0,0.0028320589068252617,不是
铝,AL,AL2404,9.0,3元,3元,3元,17620.0,7929.0,6.0,5,5.0,0.0028376844494892167,不是
铝,AL,AL2405,9.0,3元,3元,3元,17635.0,7935.75,6.0,5,5.0,0.002835270768358378,不是
